genbank,case_name,na_clade,ha_clade,date,year
JQ906907,A/swine/Minnesota/A01076209/2010,N2.2002A,pdmh1,2010-05-02,2010
JQ922360,A/swine/Minnesota/A01134341/2010,N2.2002A,delta1a,2010-05-04,2010
KY354183,A/swine/Missouri/03013/2010,N2.2002,delta2,2010-05-04,2010
CY086930,A/swine/Minnesota/239106/2010,N2.2002A,delta1b,2010-05-05,2010
JQ906908,A/swine/Minnesota/A01076210/2010,N2.2002A,delta1a,2010-05-09,2010
JQ906913,A/swine/Minnesota/A01076998/2010,N2.2002A,delta1a,2010-05-12,2010
JF312075,A/swine/Iowa/A01057188/2010,N2.2002,cluster_iv,2010-05-24,2010
KY354178,A/swine/North_Carolina/03029/2010,N2.2002,pdmh1,2010-05-26,2010
HQ734205,A/swine/Illinois/53612-7/2010,N2.2002,cluster_iv,2010-06-11,2010
CY107053,A/swine/North_Carolina/A01076212/2010,N2.2002,cluster_iv,2010-06-27,2010
CY158395,A/swine/Texas/03042/2010,N2.1998A,cluster_iv,2010-07-02,2010
JQ783090,A/swine/North_Carolina/A01076214/2010,N2.2002,cluster_iv,2010-07-04,2010
JX048035,A/swine/Illinois/A01076121/2010,N2.2002A,delta1b,2010-07-13,2010
KY354182,A/swine/Indiana/03053/2010,N2.2002A,pdmh1,2010-07-14,2010
HQ424898,A/swine/Oklahoma/44837-5/2010,N2.2002A,delta1b,2010-07-19,2010
JX048036,A/swine/Minnesota/A01076122/2010,N2.2002A,delta1b,2010-07-25,2010
JX048037,A/swine/Minnesota/A01076123/2010,N2.2002A,delta1b,2010-07-25,2010
CY107060,A/swine/Minnesota/A01076218/2010,N2.2002,cluster_ivb,2010-08-01,2010
JQ906900,A/swine/Iowa/A01076148/2010,N2.2002A,gamma,2010-08-04,2010
JQ906901,A/swine/Iowa/A01076157/2010,N2.2002A,delta1b,2010-08-12,2010
CY130943,A/swine/Ohio/10SW121/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130951,A/swine/Ohio/10SW122/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130959,A/swine/Ohio/10SW125/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130967,A/swine/Ohio/10SW126/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130975,A/swine/Ohio/10SW127/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130983,A/swine/Ohio/10SW128/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130991,A/swine/Ohio/10SW131/2010,N2.2002,cluster_iva,2010-08-12,2010
CY130999,A/swine/Ohio/10SW132/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131007,A/swine/Ohio/10SW133/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131015,A/swine/Ohio/10SW134/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131023,A/swine/Ohio/10SW135/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131031,A/swine/Ohio/10SW136/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131039,A/swine/Ohio/10SW137/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131047,A/swine/Ohio/10SW139/2010,N2.2002,cluster_iva,2010-08-12,2010
CY131055,A/swine/Ohio/10SW156/2010,N2.2002,cluster_iva,2010-08-19,2010
CY131063,A/swine/Ohio/10SW202/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131071,A/swine/Ohio/10SW203/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131079,A/swine/Ohio/10SW204/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131087,A/swine/Ohio/10SW205/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131095,A/swine/Ohio/10SW206/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131103,A/swine/Ohio/10SW207/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131111,A/swine/Ohio/10SW208/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131119,A/swine/Ohio/10SW209/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131127,A/swine/Ohio/10SW210/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131135,A/swine/Ohio/10SW211/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131143,A/swine/Ohio/10SW212/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131151,A/swine/Ohio/10SW213/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131159,A/swine/Ohio/10SW214/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131167,A/swine/Ohio/10SW216/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131175,A/swine/Ohio/10SW218/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131183,A/swine/Ohio/10SW219/2010,N2.2002,cluster_iva,2010-08-24,2010
CY131191,A/swine/Ohio/10SW220/2010,N2.2002,cluster_iva,2010-08-24,2010
CY124840,A/swine/Pennsylvania/A01076501/2010,N2.2002,cluster_iv,2010-09-01,2010
JQ858434,A/swine/Illinois/A01076221/2010,N2.2002A,delta1b,2010-09-02,2010
JQ858435,A/swine/Illinois/A01076223/2010,N2.2002A,delta1b,2010-09-02,2010
KY354172,A/swine/Illinois/3120/2010,N2.2002A,delta1b,2010-09-03,2010
CY114704,A/swine/Minnesota/A01116364/2010,N2.2002A,delta1b,2010-09-04,2010
CY086890,A/swine/North_Carolina/226124/2010,N2.1998B,delta2,2010-09-08,2010
CY086898,A/swine/North_Carolina/226125/2010,N2.1998B,delta2,2010-09-08,2010
CY086906,A/swine/North_Carolina/226126/2010,N2.1998B,delta2,2010-09-08,2010
JX048048,A/swine/Iowa/A01076309/2010,N2.2002,cluster_iv,2010-09-20,2010
JQ783091,A/swine/Iowa/A01076311/2010,N2.2002,cluster_iv,2010-09-20,2010
JQ922353,A/swine/Minnesota/A01134332/2010,N2.2002A,delta1b,2010-09-20,2010
JF316645,A/swine/Pennsylvania/057108-1/2010,N2.2002,cluster_iv,2010-09-20,2010
JQ738133,A/swine/Pennsylvania/a01076502/2010,N2.2002,cluster_iv,2010-09-20,2010
JQ738141,A/swine/Pennsylvania/a01076503/2010,N2.2002,cluster_iv,2010-09-20,2010
JQ791014,A/swine/Minnesota/A01076999/2010,N2.2002,cluster_iva,2010-09-22,2010
CY158459,A/swine/Minnesota/3128/2010,N2.2002A,delta1b,2010-09-24,2010
CY158411,A/swine/North_Carolina/SG1358/2010,N2.2002,cluster_iv,2010-09-24,2010
CY114758,A/swine/Minnesota/A01076326/2010,N2.2002A,delta1b,2010-09-26,2010
JQ906909,A/swine/Minnesota/A01076331/2010,N2.2002A,delta1b,2010-09-26,2010
CY114579,A/swine/Minnesota/A01076335/2010,N2.2002A,delta1b,2010-09-26,2010
JQ858436,A/swine/Illinois/A01076354/2010,N2.2002,gamma,2010-09-27,2010
JX048049,A/swine/Illinois/A01076361/2010,N2.2002,gamma,2010-09-27,2010
JQ809789,A/swine/Illinois/A01076365/2010,N2.2002,gamma,2010-09-27,2010
JQ858437,A/swine/Illinois/A01076380/2010,N2.2002,gamma,2010-09-27,2010
KY354177,A/swine/Illinois/3134/2010,N2.2002,gamma,2010-09-28,2010
HQ833568,A/swine/Ohio/FAH10-1/2010,N2.2002A,delta1b,2010-10-01,2010
JX048050,A/swine/Iowa/A01076507/2010,N2.2002,cluster_iv,2010-10-04,2010
JX048051,A/swine/Iowa/A01076508/2010,N2.2002,cluster_iv,2010-10-04,2010
JX048052,A/swine/Minnesota/A01076531/2010,N2.2002B,cluster_iv,2010-10-07,2010
JX844132,A/swine/Illinois/A01076369/2010,N2.2002,gamma,2010-10-11,2010
JQ906910,A/swine/Minnesota/A01076626/2010,N2.2002,delta2,2010-10-12,2010
JQ689154,A/swine/Indiana/A00968321/2010,N2.2002,cluster_iva,2010-10-18,2010
JQ783094,A/swine/Minnesota/A01076701/2010,N2.2002B,cluster_iv,2010-10-18,2010
JQ922354,A/swine/Minnesota/A01134333/2010,N2.2002A,delta1b,2010-10-18,2010
JQ689156,A/swine/Indiana/A00968322/2010,N2.2002,cluster_iva,2010-10-20,2010
CY114778,A/swine/Ohio/A01076765/2010,N2.2002A,delta1b,2010-10-21,2010
JF312067,A/swine/Pennsylvania/62170-2/2010,N2.2002A,cluster_iv,2010-10-25,2010
JF312069,A/swine/Pennsylvania/62170-4/2010,N2.2002A,cluster_iv,2010-10-25,2010
JF312066,A/swine/Pennsylvania/A01076777/2010,N2.2002A,cluster_iv,2010-10-25,2010
JF312068,A/swine/Pennsylvania/A01076779/2010,N2.2002A,cluster_iv,2010-10-25,2010
JX048057,A/swine/Illinois/A01076768/2010,N2.2002B,cluster_ivb,2010-10-26,2010
JQ783092,A/swine/Iowa/A01076630/2010,N2.2002B,cluster_ivb,2010-10-26,2010
JQ783093,A/swine/Iowa/A01076632/2010,N2.2002B,cluster_ivb,2010-10-26,2010
JX463286,A/swine/Indiana/A01327234/2010,N2.2002,cluster_iv,2010-10-27,2010
JX463283,A/swine/Indiana/A01327235/2010,N2.2002,cluster_iv,2010-10-27,2010
CY158435,A/swine/North_Carolina/SG1365/2010,N2.1998B,delta2,2010-10-29,2010
JQ922347,A/swine/Illinois/A01076708/2010,N2.2002,cluster_iv,2010-11-01,2010
JX048053,A/swine/Illinois/A01076709/2010,N2.2002,cluster_iv,2010-11-01,2010
JQ689166,A/swine/Illinois/A01076719/2010,N2.2002,cluster_iva,2010-11-01,2010
JX048054,A/swine/Illinois/A01076724/2010,N2.2002,cluster_iv,2010-11-01,2010
JX048055,A/swine/Illinois/A01076730/2010,N2.2002,cluster_iv,2010-11-01,2010
JX048056,A/swine/Illinois/A01076735/2010,N2.2002,cluster_iv,2010-11-01,2010
JN617996,A/swine/Ohio/FAH11-1/2010,N2.2002A,delta1b,2010-11-01,2010
JQ906911,A/swine/Minnesota/A01076763/2010,N2.2002A,delta1a,2010-11-02,2010
JQ906912,A/swine/Minnesota/A01076764/2010,N2.2002A,delta1a,2010-11-02,2010
JX657758,A/swine/Pennsylvania/A01076777/2010,N2.2002A,cluster_iv,2010-11-03,2010
JX657816,A/swine/Pennsylvania/A01076779/2010,N2.2002A,cluster_iv,2010-11-03,2010
CY114593,A/swine/Minnesota/A01201424/2010,N2.2002B,cluster_ivb,2010-11-09,2010
CY115041,A/swine/Minnesota/A01134592/2010,N2.2002A,delta1b,2010-11-10,2010
JQ906923,A/swine/Minnesota/A01134593/2010,N2.2002A,delta1b,2010-11-10,2010
CY159977,A/swine/Oklahoma/SG1349/2010,N2.2002A,delta1b,2010-11-10,2010
JQ783095,A/swine/Illinois/A01076859/2010,N2.2002,cluster_iv,2010-11-11,2010
JQ756387,A/swine/Illinois/A01076865/2010,N2.2002,cluster_iv,2010-11-11,2010
CY160270,A/swine/Oklahoma/SG1498/2010,N2.1998A,cluster_ivf,2010-11-11,2010
CY114601,A/swine/Illinois/A01076954/2010,N2.2002,delta2,2010-11-14,2010
JQ858438,A/swine/Illinois/A01076955/2010,N2.2002,delta2,2010-11-14,2010
JX080644,A/swine/Iowa/A01049000/2010,N2.2002A,delta1a,2010-11-15,2010
JF812309,A/swine/Illinois/A01049074/2010,N2.2002,delta2,2010-11-16,2010
JX080661,A/swine/Iowa/A01049020/2010,N2.2002,pdmh1,2010-11-16,2010
JF812297,A/swine/Iowa/A01049031/2010,N2.2002B,cluster_iv,2010-11-16,2010
JF812298,A/swine/Iowa/A01049032/2010,N2.2002B,cluster_iv,2010-11-16,2010
JQ689126,A/swine/Iowa/A01049033/2010,N2.2002B,cluster_iv,2010-11-16,2010
JF812299,A/swine/Iowa/A01049034/2010,N2.2002B,cluster_ive,2010-11-16,2010
JF812300,A/swine/Iowa/A01049035/2010,N2.2002B,cluster_ive,2010-11-16,2010
JQ689134,A/swine/Iowa/A01049036/2010,N2.2002B,cluster_ive,2010-11-16,2010
JF812305,A/swine/Iowa/A01049060/2010,N2.1998A,delta-like,2010-11-16,2010
JF812306,A/swine/Iowa/A01049062/2010,N2.1998A,delta-like,2010-11-16,2010
JF812308,A/swine/Iowa/A01049071/2010,N2.2002A,delta1b,2010-11-16,2010
JF812311,A/swine/North_Carolina/A01049085/2010,N2.2002,delta2,2010-11-16,2010
JQ756388,A/swine/Minnesota/A01134337/2010,N2.2002,cluster_iva,2010-11-17,2010
JF812312,A/swine/Indiana/A01049091/2010,N2.2002A,cluster_iva,2010-11-18,2010
CY114606,A/swine/Minnesota/A01047909/2010,N2.2002A,delta1b,2010-11-18,2010
CY114609,A/swine/Minnesota/A01047910/2010,N2.2002A,delta1b,2010-11-18,2010
JQ906904,A/swine/Minnesota/A01047911/2010,N2.2002A,delta1b,2010-11-18,2010
JQ922358,A/swine/Minnesota/A01134339/2010,N2.2002A,delta1b,2010-11-18,2010
JF833348,A/swine/Indiana/A01049124/2010,N2.2002,cluster_iv,2010-11-19,2010
JX080645,A/swine/Iowa/A01049119/2010,N2.1998A,cluster_ivb,2010-11-19,2010
JQ790998,A/swine/Illinois/A01047009/2010,N2.2002,cluster_iv,2010-11-22,2010
JQ791006,A/swine/Illinois/A01047014/2010,N2.2002,cluster_iv,2010-11-22,2010
JQ756349,A/swine/Illinois/A01047020/2010,N2.2002A,delta1b,2010-11-22,2010
JQ756350,A/swine/Illinois/A01047024/2010,N2.2002A,delta1b,2010-11-22,2010
JF812316,A/swine/Iowa/A01049112/2010,N2.2002B,cluster_ivb,2010-11-22,2010
JF833346,A/swine/Iowa/A01049113/2010,N2.2002B,cluster_ivb,2010-11-22,2010
CY115051,A/swine/Minnesota/A01134597/2010,N2.2002A,delta1b,2010-11-22,2010
JQ906924,A/swine/Minnesota/A01134598/2010,N2.2002A,delta1b,2010-11-22,2010
JX463277,A/swine/Indiana/A01327236/2010,N2.2002,cluster_iv,2010-11-23,2010
CY158451,A/swine/Minnesota/SG1370/2010,N2.1998A,delta-like,2010-11-23,2010
CY078422,A/swine/South_Dakota/2/2010,N2.2002A,delta1b,2010-11-23,2010
CY078425,A/swine/South_Dakota/3/2010,N2.2002A,delta1b,2010-11-23,2010
CY158987,A/swine/North_Carolina/SG1364/2010,N2.2002,cluster_iv,2010-11-24,2010
CY160028,A/swine/North_Carolina/SG1364/2010,N2.2002,cluster_iv,2010-11-24,2010
JQ756351,A/swine/Illinois/A01047041/2010,N2.2002A,delta1b,2010-11-29,2010
JQ756352,A/swine/Illinois/A01047042/2010,N2.2002A,delta1b,2010-11-29,2010
KR859450,A/swine/Illinois/A01047044/2010,N2.2002A,delta1b,2010-11-29,2010
KR859458,A/swine/Illinois/A01047045/2010,N2.2002A,delta1b,2010-11-29,2010
KR859415,A/swine/Illinois/A01047046/2010,N2.2002A,delta1b,2010-11-29,2010
CY114625,A/swine/Illinois/A01047048/2010,N2.2002,delta2,2010-11-29,2010
JQ756353,A/swine/Illinois/A01047054/2010,N2.2002,delta2,2010-11-29,2010
CY114632,A/swine/Illinois/A01047079/2010,N2.2002,delta2,2010-11-29,2010
JQ756354,A/swine/Illinois/A01047080/2010,N2.2002,delta2,2010-11-29,2010
JQ756355,A/swine/Illinois/A01047085/2010,N2.2002A,delta1b,2010-11-29,2010
JQ756356,A/swine/Illinois/A01047089/2010,N2.2002A,delta1b,2010-11-29,2010
JQ756357,A/swine/Illinois/A01047097/2010,N2.2002A,delta1b,2010-11-29,2010
JQ756358,A/swine/Illinois/A01047099/2010,N2.2002A,delta1b,2010-11-29,2010
JQ756359,A/swine/Illinois/A01047108/2010,N2.2002A,delta1b,2010-11-29,2010
JQ756360,A/swine/Illinois/A01047112/2010,N2.2002A,delta1b,2010-11-29,2010
JQ783088,A/swine/Pennsylvania/A01047912/2010,N2.2002A,cluster_iv,2010-11-29,2010
JQ756361,A/swine/Illinois/A01047145/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756362,A/swine/Illinois/A01047149/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756363,A/swine/Illinois/A01047153/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756364,A/swine/Illinois/A01047155/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756365,A/swine/Illinois/A01047162/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756366,A/swine/Illinois/A01047166/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756367,A/swine/Illinois/A01047172/2010,N2.2002A,delta1b,2010-11-30,2010
JQ756368,A/swine/Illinois/A01047177/2010,N2.2002A,delta1b,2010-11-30,2010
JQ689158,A/swine/Illinois/A01047183/2010,N2.2002,cluster_iv,2010-11-30,2010
JQ689086,A/swine/Illinois/A01047188/2010,N2.2002,cluster_iv,2010-11-30,2010
JF833352,A/swine/Iowa/A01049160/2010,N2.2002,cluster_iv,2010-11-30,2010
JF833354,A/swine/Illinois/A01049164/2010,N2.2002,delta2,2010-12-01,2010
JF833357,A/swine/Iowa/A01049185/2010,N2.2002B,cluster_ivb,2010-12-01,2010
JQ689161,A/swine/Illinois/A01047528/2010,N2.2002,cluster_iv,2010-12-02,2010
JQ689102,A/swine/Illinois/A01047529/2010,N2.2002,cluster_iv,2010-12-02,2010
JQ906905,A/swine/Minnesota/A01047913/2010,N2.2002A,delta1a,2010-12-02,2010
JX080648,A/swine/Iowa/A01049227/2010,N2.2002,delta2,2010-12-06,2010
JN162007,A/swine/Iowa/A01049228/2010,N2.2002,delta2,2010-12-06,2010
CY114659,A/swine/Minnesota/A01047499/2010,N2.2002A,delta1b,2010-12-06,2010
JQ756372,A/swine/Minnesota/A01047500/2010,N2.2002A,delta1b,2010-12-06,2010
JQ756373,A/swine/Illinois/A01047518/2010,N2.2002A,delta1b,2010-12-07,2010
JQ809790,A/swine/Illinois/A01047525/2010,N2.2002A,delta1b,2010-12-07,2010
JQ783087,A/swine/Iowa/A01047906/2010,N2.2002,cluster_iv,2010-12-07,2010
JF312055,A/swine/Minnesota/A01047604/2010,N2.2002A,delta1b,2010-12-07,2010
JN162008,A/swine/Nebraska/A01049235/2010,N2.2002B,cluster_ivb,2010-12-07,2010
JN162014,A/swine/Pennsylvania/A01049256/2010,N2.2002,cluster_iv,2010-12-07,2010
JX080649,A/swine/Iowa/A01049263/2010,N2.2002A,delta1a,2010-12-08,2010
JN162013,A/swine/Iowa/A01049254/2010,N2.2002,cluster_iv,2010-12-09,2010
JQ689110,A/swine/Missouri/A01047968/2010,N2.2002B,cluster_ivd,2010-12-14,2010
JQ689118,A/swine/Missouri/A01047969/2010,N2.2002B,cluster_ivd,2010-12-14,2010
KF746326,A/swine/Indiana/A00968325/2010,N2.2002,cluster_iv,2010-12-17,2010
JN162015,A/swine/Iowa/A01049317/2010,N2.2002B,cluster_ivb,2010-12-22,2010
CY081567,A/swine/South_Dakota/4/2010,N2.2002A,delta1b,2010-12-28,2010
JX080651,A/swine/Indiana/A01049349/2010,N2.2002,cluster_ivc,2010-12-29,2010
JQ689164,A/swine/Indiana/A01049349/2010,N2.2002,cluster_ivc,2010-12-29,2010
JN162016,A/swine/Minnesota/A01049346/2010,N2.2002B,cluster_ivb,2010-12-29,2010
JX080650,A/swine/Iowa/A01049344/2010,N2.2002A,delta1b,2010-12-30,2010
JN409393,A/swine/Kansas/10-91088/2010,N2.1998A,cluster_ivf,2010-12-30,2010
JX080652,A/swine/Ohio/A01049357/2010,N2.2002A,delta1b,2010-12-31,2010
JQ809792,A/swine/Illinois/A01047805/2011,N2.2002A,delta1b,2011-01-03,2011
JQ809793,A/swine/Illinois/A01047806/2011,N2.2002A,delta1b,2011-01-03,2011
JQ783089,A/swine/North_Carolina/A01047914/2011,N2.2002,cluster_iv,2011-01-06,2011
JX080653,A/swine/Ohio/A01049382/2011,N2.2002A,delta1b,2011-01-06,2011
CY158515,A/swine/North_Carolina/03289/2011,N2.2002,cluster_iv,2011-01-07,2011
CY115023,A/swine/Minnesota/A01047973/2011,N2.2002A,delta1b,2011-01-10,2011
JX080659,A/swine/Minnesota/A01049404/2011,N2.2002A,gamma,2011-01-11,2011
JQ689094,A/swine/Minnesota/A01047396/2011,N2.2002B,cluster_ive,2011-01-13,2011
JQ756369,A/swine/Illinois/A01047348/2011,N2.2002A,delta1b,2011-01-18,2011
CY114862,A/swine/Illinois/A01047350/2011,N2.2002A,delta1b,2011-01-18,2011
JQ756370,A/swine/Illinois/A01047353/2011,N2.2002A,delta1b,2011-01-18,2011
CY114893,A/swine/Illinois/A01047360/2011,N2.2002A,delta1b,2011-01-18,2011
JQ756371,A/swine/Illinois/A01047363/2011,N2.2002A,delta1b,2011-01-18,2011
CY114813,A/swine/Illinois/A01047996/2011,N2.2002A,delta1b,2011-01-18,2011
CY114844,A/swine/Illinois/A01047397/2011,N2.2002A,delta1b,2011-01-19,2011
JN162022,A/swine/Iowa/A01049450/2011,N2.2002A,delta1b,2011-01-19,2011
JX080654,A/swine/Iowa/A01049451/2011,N2.2002A,delta1b,2011-01-19,2011
JN409401,A/swine/Kansas/11-101926/2011,N2.1998A,cluster_ivf,2011-01-19,2011
JQ398760,A/swine/Mississippi/A01049443/2011,N2.2002A,delta1b,2011-01-19,2011
JN162021,A/swine/North_Carolina/A01049436/2011,N2.2002A,cluster_iva,2011-01-19,2011
CY158563,A/swine/Iowa/03734/2011,N2.2002,cluster_iv,2011-01-24,2011
CY158475,A/swine/Arkansas/SG1376/2011,N2.2002A,delta1b,2011-01-26,2011
JQ906927,A/swine/Minnesota/A01201429/2011,N2.2002B,unknown,2011-01-27,2011
CY114968,A/swine/Minnesota/A01134221/2011,N2.2002A,delta1b,2011-01-30,2011
JQ906917,A/swine/Minnesota/A01134226/2011,N2.2002A,delta1b,2011-01-30,2011
CY114972,A/swine/Minnesota/A01134235/2011,N2.2002A,delta1b,2011-01-30,2011
JQ906918,A/swine/Minnesota/A01134236/2011,N2.2002A,delta1b,2011-01-30,2011
CY114976,A/swine/Minnesota/A01134246/2011,N2.2002A,delta1b,2011-01-30,2011
JQ906919,A/swine/Minnesota/A01134248/2011,N2.2002A,delta1b,2011-01-30,2011
JQ858443,A/swine/Illinois/A01134264/2011,N2.2002A,delta1b,2011-01-31,2011
JQ858444,A/swine/Illinois/A01134269/2011,N2.2002A,delta1b,2011-01-31,2011
JN652430,A/swine/Oklahoma/A01049500/2011,N2.2002A,delta1b,2011-02-03,2011
JN652431,A/swine/Oklahoma/A01049501/2011,N2.2002A,delta1b,2011-02-03,2011
JN652432,A/swine/Iowa/A01049506/2011,N2.2002A,delta1b,2011-02-04,2011
JQ906920,A/swine/Minnesota/A01134353/2011,N2.2002A,delta1a,2011-02-07,2011
JQ906921,A/swine/Minnesota/A01134357/2011,N2.2002A,delta1a,2011-02-07,2011
JN652433,A/swine/Iowa/A01049525/2011,N2.2002,delta2,2011-02-08,2011
CY114989,A/swine/Minnesota/A01134468/2011,N2.2002A,delta1b,2011-02-08,2011
JQ858445,A/swine/Illinois/A01134426/2011,N2.2002A,delta1b,2011-02-10,2011
JQ858446,A/swine/Illinois/A01134433/2011,N2.2002A,delta1b,2011-02-10,2011
JN652434,A/swine/Texas/A01049555/2011,N2.1998A,cluster_ivf,2011-02-14,2011
JN652435,A/swine/Texas/A01049556/2011,N2.1998A,cluster_ivf,2011-02-14,2011
JN409409,A/swine/Kansas/11-104465/2011,N2.1998A,unknown,2011-02-16,2011
JN409417,A/swine/Kansas/11-104467/2011,N2.1998A,unknown,2011-02-16,2011
JQ858447,A/swine/Illinois/A01134482/2011,N2.2002A,delta1b,2011-02-22,2011
JQ858448,A/swine/Illinois/A01134581/2011,N2.2002A,delta1b,2011-02-22,2011
CY115008,A/swine/Illinois/A01201430/2011,N2.2002A,delta1b,2011-02-22,2011
KR859604,A/swine/Illinois/A01134578/2011,N2.2002A,delta1b,2011-02-23,2011
KR859400,A/swine/Illinois/A01134579/2011,N2.2002A,delta1b,2011-02-23,2011
